Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1573","43220",EXPO Science Park,엑스포과학공원,"8002202",36.377346000000003,127.379195999999993,"301, 318, 5, 606, 918"
"1574","43240",EXPO Art Hall,엑스포아트홀,"8002206",36.374214000000002,127.382320000000007,"121, 705, 911"
"1575","43250",EXPO Art Hall,엑스포아트홀,"8002205",36.374287000000002,127.383170000000007,"121, 705, 911"
"1576","44220",Expo Apts.,엑스포아파트,"8002531",36.397938000000003,127.404785000000004,"1, 121, 705, 802, 918"
"1577","44240",Expo Apts.,엑스포아파트,"8002208",36.396459999999998,127.405000000000001,"1, 121, 705, 802, 918"
"1578","43140",Daedeok Innopolis Negeori(Intersection),연구단지네거리,"8001329",36.385826000000002,127.377340000000004,"1, 318, 606"
"1579","50760",Yeonchuk Apts.,연축아파트,"8002209",36.396030000000003,127.422709999999995,"311, 611, 701, 703, 711, 74"
"1580","42400","Yeolmaemaeul Apts.4,5",열매마을5.6단지,"8002210",36.376030000000000,127.319609999999997,"101, 114, 116"
"1581","42410","Yeolmaemaeul Apts.4,5",열매마을5.6단지,"8002211",36.375860000000003,127.319609999999997,"101, 114, 116"
"1582","34270",Yeonggol/ Seonyangjujo,영골,"8002215",36.231174000000003,127.311509999999998,"21, 24"
"1583","34280",Yeonggol/ Seonyangjujo,영골,"8002214",36.231056000000002,127.311570000000003,"21, 24"
"1584","46440",---,영무예다음아파트,"8007339",36.374214000000002,127.305679999999995,"1002"
"1585","46450",---,영무예다음아파트,"8007340",36.374400000000001,127.305160000000001,"1002"
"1586","51270",Yeongjinroyal Apts.,영진로얄아파트,"8002217",36.361240000000002,127.421139999999994,"611, 614, 617"
"1587","51290",Yeongjinroyal Apts.,영진로얄아파트,"8002218",36.361829999999998,127.421629999999993,"611, 614, 617"
"1588","51100",Yeongjin Apts.,영진아파트,"8002219",36.374380000000002,127.427329999999998,"617, 711, 74"
"1589","45640",Gyeryonggyo(Bridge),예미지7단지,"8070013",36.347095000000003,127.347899999999996,"114"
"1590","45650",Gyeryonggyo(Bridge),예미지7단지,"8007184",36.348033999999998,127.347885000000005,"3"
"1591","45720",Bongmyeong Middle School,예미지7단지,"8070024",36.348430000000000,127.346176000000000,"114"
"1592","46310",Gyeryonggyo(Bridge),예미지7단지,"8007244",36.346812999999997,127.347885000000005,"3"
"1593","31440",Yeji Middle&High School,예지중고등학교,"8002220",36.340076000000003,127.387505000000004,"602"
"1594","14750",---,옛터민속박물관,"8007439",36.214370000000002,127.441320000000005,"501"
"1595","14760",---,옛터민속박물관,"8007440",36.214160000000000,127.441246000000007,"501"
"1596","13310",O-dong,오동,"8002226",36.415999999999997,127.533320000000003,"63"
"1597","13320",O-dong,오동,"8002225",36.416049999999998,127.533935999999997,"63"
"1598","34250",O-dong,오동,"8002221",36.230792999999998,127.308419999999998,"21, 24"
