법정동,BUS_ID,BUS_NN,탑승,하차,환승,BUS_NODE_I,GPS_LATI(위도),GPS_LONG(경도),ROUTE_NO
동구 홍도동,12110,한남로삼거리,69064,31150,2310,8001085,36.351215,127.42663,"105, 314, 711"
동구 홍도동,12120,한남로삼거리,31466,31066,3575,8001086,36.35128,127.427414,"105, 314, 711"
동구 홍도동,12080,홍도동현암아파트,1792,374,31,8002991,36.344486,127.42376,512
동구 홍도동,12090,홍도동현암아파트,617,3042,12,8002990,36.344673,127.42378,512
동구 홍도동,12060,홍도지하보도,1235,3454,186,8001087,36.34765,127.422035,512
동구 홍도동,12070,홍도지하보도,2859,812,28,8002988,36.34794,127.4216,512
동구 홍도동,12140,홍도지하차도,27161,13288,3009,8002993,36.346127,127.4301,"105, 106, 601, 602, 607"
동구 홍도동,14690,홍도치안센터,16385,5514,306,8007372,36.34656,127.42596,"602, 607"
동구 홍도동,14700,홍도치안센터,7447,14751,290,8007371,36.34646,127.42565,"602, 607"
동구 삼성동,12340,계룡디지텍고입구,11764,25031,3261,8001090,36.33935,127.433395,"201, 202, 317, 501, 60, 611, 613, 620, 622, 63, 802"
동구 삼성동,12250,북부교,1114,509,36,8001797,36.33825,127.42381,"317, 607"
동구 삼성동,12260,북부교,664,2549,14,8001796,36.33818,127.42418,"317, 607"
동구 삼성동,12170,삼성2동,408,786,1,8001870,36.339813,127.416626,607
동구 삼성동,14540,삼성2동,555,1430,1,8007220,36.34003,127.41628,607
동구 삼성동,11920,삼성네거리,4730,4238,397,8001873,36.33878,127.428825,"314, 512, 606, 614, 616, 711"
동구 삼성동,12320,삼성네거리,8715,11522,2986,8001872,36.33712,127.43016,"2002, 201, 202, 501, 60, 611, 613, 622, 63, 802"
동구 삼성동,12230,삼성동행정복지센터,6437,2644,495,8002621,36.339466,127.42235,"317, 607"
동구 삼성동,12240,삼성동행정복지센터,2014,3790,73,8002622,36.339497,127.42258,"317, 607"
동구 삼성동,12310,삼성초등학교,53628,68101,36844,8001876,36.336464,127.43009,"101, 2002, 201, 202, 314, 501, 512, 60, 606, 607, 611, 613, 614, 616, 622, 63, 705, 711, 802"
동구 삼성동,12330,삼성초등학교,9173,4076,4347,8001871,36.336555,127.43039,"314, 512, 606, 614, 616, 711"
동구 삼성동,14610,솔랑마을아파트,13052,9913,2090,8007271,36.343445,127.42238,"314, 606, 614, 616, 711, B1"
동구 삼성동,14620,솔랑마을아파트,11538,12341,719,8007272,36.343925,127.42126,"314, 606, 614, 616, 711, B1"
동구 삼성동,14590,한밭자이아파트,19678,16853,2621,8007269,36.340706,127.42624,"314, 512, 606, 614, 616, 711, B1"
동구 삼성동,14600,한밭자이아파트,23197,16424,2091,8007270,36.341194,127.425095,"314, 512, 606, 614, 616, 711, B1"
동구 삼성동,12290,한밭중네거리,9407,5053,1055,8002934,36.336952,127.42679,"317, 607, 620, 705"
동구 삼성동,12300,한밭중네거리,3736,6210,716,8001749,36.33666,127.42679,"317, 607, 620, 705"
